Species,Genus,Family,RangeSize,Groups
Persicaria hispida,Persicaria,Polygonaceae,127,Widespread
Sacciolepis myuros,Sacciolepis,Poaceae,127,Widespread
Sphaeranthus indicus,Sphaeranthus,Asteraceae,127,Widespread
Eleocharis congesta,Eleocharis,Cyperaceae,126,Widespread
Ludwigia repens,Ludwigia,Onagraceae,125,Widespread
Persicaria arifolia,Persicaria,Polygonaceae,125,Widespread
Ranunculus tripartitus,Ranunculus,Ranunculaceae,125,Widespread
Sacciolepis striata,Sacciolepis,Poaceae,125,Widespread
Cyperus nutans,Cyperus,Cyperaceae,124,Widespread
Ranunculus longicaulis,Ranunculus,Ranunculaceae,124,Widespread
Rhynchospora candida,Rhynchospora,Cyperaceae,124,Widespread
Rumex gmelinii,Rumex,Polygonaceae,124,Widespread
Trichanthecium cyanescens,Trichanthecium,Poaceae,124,Widespread
Paspalum fasciculatum,Paspalum,Poaceae,123,Widespread
Carex dispalata,Carex,Cyperaceae,122,Widespread
Ceratophyllum echinatum,Ceratophyllum,Ceratophyllaceae,122,Widespread
Cyperus mutisii,Cyperus,Cyperaceae,122,Widespread
Eleocharis cellulosa,Eleocharis,Cyperaceae,122,Widespread
Persicaria ferruginea,Persicaria,Polygonaceae,122,Widespread
Heteranthera callifolia,Heteranthera,Pontederiaceae,121,Intermediate
Hydrolea zeylanica,Hydrolea,Hydroleaceae,121,Intermediate
Orontium aquaticum,Orontium,Araceae,121,Intermediate
Carex parviflora,Carex,Cyperaceae,120,Intermediate
Crinum erubescens,Crinum,Amaryllidaceae,120,Intermediate
Cyperus castaneus,Cyperus,Cyperaceae,120,Intermediate
Ranunculus schmalhausenii,Ranunculus,Ranunculaceae,120,Intermediate
Bolboschoenus caldwellii,Bolboschoenus,Cyperaceae,119,Intermediate
Crassula vaillantii,Crassula,Crassulaceae,119,Intermediate
Persicaria meisneriana,Persicaria,Polygonaceae,119,Intermediate
Pontederia cyanea,Pontederia,Pontederiaceae,119,Intermediate
Ruppia polycarpa,Ruppia,Ruppiaceae,119,Intermediate
Eleocharis kamtschatica,Eleocharis,Cyperaceae,118,Intermediate
Eleocharis tetraquetra,Eleocharis,Cyperaceae,118,Intermediate
Juncus brachycarpus,Juncus,Juncaceae,118,Intermediate
Montia parvifolia,Montia,Montiaceae,118,Intermediate
Nymphaea amazonum,Nymphaea,Nymphaeaceae,118,Intermediate
Nymphaea violacea,Nymphaea,Nymphaeaceae,118,Intermediate
Phragmites mauritianus,Phragmites,Poaceae,118,Intermediate
Ranunculus pusillus,Ranunculus,Ranunculaceae,118,Intermediate
Xyris fallax,Xyris,Xyridaceae,118,Intermediate
Cyperus alopecuroides,Cyperus,Cyperaceae,117,Intermediate
Nymphaea rudgeana,Nymphaea,Nymphaeaceae,117,Intermediate
Caldesia parnassifolia,Caldesia,Alismataceae,116,Intermediate
Iris spuria,Iris,Iridaceae,116,Intermediate
Potamogeton cheesemanii,Potamogeton,Potamogetonaceae,116,Intermediate
Ammannia prieuriana,Ammannia,Lythraceae,115,Intermediate
Pontederia heterosperma,Pontederia,Pontederiaceae,115,Intermediate
Stephostachys mertensii,Stephostachys,Poaceae,115,Intermediate
Cyperus procerus,Cyperus,Cyperaceae,114,Intermediate
Heliotropium elongatum,Heliotropium,Boraginaceae,114,Intermediate
Ranunculus aristatus,Ranunculus,Ranunculaceae,114,Intermediate
Cardamine bonariensis,Cardamine,Brassicaceae,113,Intermediate
Couepia paraensis,Couepia,Chrysobalanaceae,112,Intermediate
Oryza officinalis,Oryza,Poaceae,112,Intermediate
Potamogeton schweinfurthii,Potamogeton,Potamogetonaceae,112,Intermediate
Vallisneria australis,Vallisneria,Hydrocharitaceae,112,Intermediate
Burmannia disticha,Burmannia,Burmanniaceae,111,Intermediate
Eleocharis microcarpa,Eleocharis,Cyperaceae,111,Intermediate
Myriophyllum tenellum,Myriophyllum,Haloragaceae,111,Intermediate
Neptunia oleracea,Neptunia,Fabaceae,111,Intermediate
Hippuris tetraphylla,Hippuris,Plantaginaceae,110,Intermediate
Lobelia concolor,Lobelia,Campanulaceae,110,Intermediate
Ranunculus omiophyllus,Ranunculus,Ranunculaceae,110,Intermediate
Ammannia latifolia,Ammannia,Lythraceae,109,Intermediate
Buchnera palustris,Buchnera,Orobanchaceae,109,Intermediate
Gymnocoronis spilanthoides,Gymnocoronis,Asteraceae,109,Intermediate
Nymphaea micrantha,Nymphaea,Nymphaeaceae,109,Intermediate
Panicum hygrocharis,Panicum,Poaceae,109,Intermediate
Acmella uliginosa,Acmella,Asteraceae,108,Intermediate
Agrostis montevidensis,Agrostis,Poaceae,108,Intermediate
Carex recta,Carex,Cyperaceae,108,Intermediate
Fuirena stricta,Fuirena,Cyperaceae,108,Intermediate
Limnophila aromatica,Limnophila,Plantaginaceae,108,Intermediate
Ludwigia longifolia,Ludwigia,Onagraceae,108,Intermediate
Myriophyllum crispatum,Myriophyllum,Haloragaceae,108,Intermediate
Nuphar polysepala,Nuphar,Nymphaeaceae,108,Intermediate
Aquarius subalatus,Aquarius,Alismataceae,107,Intermediate
Cycnogeton procerum,Cycnogeton,Juncaginaceae,107,Intermediate
Fimbristylis cinnamometorum,Fimbristylis,Cyperaceae,107,Intermediate
Hydrocotyle tripartita,Hydrocotyle,Araliaceae,107,Intermediate
Limnophyton obtusifolium,Limnophyton,Alismataceae,107,Intermediate
Xyris montana,Xyris,Xyridaceae,107,Intermediate
Blyxa echinosperma,Blyxa,Hydrocharitaceae,106,Intermediate
Calyptrocarya poeppigiana,Calyptrocarya,Cyperaceae,106,Intermediate
Ludwigia rigida,Ludwigia,Onagraceae,106,Intermediate
Murdannia keisak,Murdannia,Commelinaceae,106,Intermediate
Potamogeton rutilus,Potamogeton,Potamogetonaceae,106,Intermediate
Ranunculus rionii,Ranunculus,Ranunculaceae,106,Intermediate
Thelypteris confluens,Thelypteris,Aspleniaceae,106,Intermediate
Crinum americanum,Crinum,Amaryllidaceae,105,Intermediate
Cyperus polystachyos,Cyperus,Cyperaceae,105,Intermediate
Fimbristylis acuminata,Fimbristylis,Cyperaceae,105,Intermediate
Glyceria arundinacea,Glyceria,Poaceae,105,Intermediate
Lythrum borysthenicum,Lythrum,Lythraceae,105,Intermediate
Rhynchospora capillacea,Rhynchospora,Cyperaceae,105,Intermediate
Rhynchospora riparia,Rhynchospora,Cyperaceae,105,Intermediate
Eleocharis bonariensis,Eleocharis,Cyperaceae,104,Intermediate
Lindernia rotundifolia,Lindernia,Linderniaceae,104,Intermediate
Rotala occultiflora,Rotala,Lythraceae,104,Intermediate
Typha capensis,Typha,Typhaceae,104,Intermediate
Bolboschoenus fluviatilis,Bolboschoenus,Cyperaceae,103,Intermediate
Burmannia coelestis,Burmannia,Burmanniaceae,103,Intermediate
Carex maculata,Carex,Cyperaceae,103,Intermediate
Cycnogeton dubium,Cycnogeton,Juncaginaceae,103,Intermediate
Lepironia articulata,Lepironia,Cyperaceae,103,Intermediate
Montrichardia linifera,Montrichardia,Araceae,103,Intermediate
Rhynchospora filiformis,Rhynchospora,Cyperaceae,102,Intermediate
Thelypteris nipponica,Thelypteris,Aspleniaceae,102,Intermediate
Xyris torta,Xyris,Xyridaceae,102,Intermediate
Benjaminia reflexa,Benjaminia,Plantaginaceae,101,Intermediate
Cyperus macrostachyos,Cyperus,Cyperaceae,101,Intermediate
Marsilea deflexa,Marsilea,Marsileaceae,101,Intermediate
Potamogeton oakesianus,Potamogeton,Potamogetonaceae,101,Intermediate
Rotala diandra,Rotala,Lythraceae,101,Intermediate
Limnophila sessiliflora,Limnophila,Plantaginaceae,100,Intermediate
Utricularia resupinata,Utricularia,Lentibulariaceae,100,Intermediate
Xyris anceps,Xyris,Xyridaceae,100,Intermediate
Albidella oligococca,Albidella,Alismataceae,99,Intermediate
Bidens discoidea,Bidens,Asteraceae,99,Intermediate
Ludwigia stenorraphe,Ludwigia,Onagraceae,99,Intermediate
Najas gracillima,Najas,Hydrocharitaceae,99,Intermediate
Nymphoides cordata,Nymphoides,Menyanthaceae,99,Intermediate
Potamogeton tepperi,Potamogeton,Potamogetonaceae,99,Intermediate
Scirpus pedicellatus,Scirpus,Cyperaceae,99,Intermediate
Utricularia hispida,Utricularia,Lentibulariaceae,99,Intermediate
Vigna lasiocarpa,Vigna,Fabaceae,99,Intermediate
Louisiella elephantipes,Louisiella,Poaceae,98,Intermediate
Bolboschoenus yagara,Bolboschoenus,Cyperaceae,97,Intermediate
Cabomba aquatica,Cabomba,Cabombaceae,97,Intermediate
Cyperus hortensis,Cyperus,Cyperaceae,97,Intermediate
Lemna perpusilla,Lemna,Araceae,97,Intermediate
Lobelia zeylanica,Lobelia,Campanulaceae,97,Intermediate
Lythrum tribracteatum,Lythrum,Lythraceae,97,Intermediate
Persicaria glabra,Persicaria,Polygonaceae,97,Intermediate
Callitriche terrestris,Callitriche,Plantaginaceae,96,Intermediate
Cardamine lyrata,Cardamine,Brassicaceae,96,Intermediate
Helanthium bolivianum,Helanthium,Alismataceae,96,Intermediate
Hydrocharis dubia,Hydrocharis,Hydrocharitaceae,96,Intermediate
Persicaria foliosa,Persicaria,Polygonaceae,96,Intermediate
Potamogeton maackianus,Potamogeton,Potamogetonaceae,96,Intermediate
Potamogeton strictifolius,Potamogeton,Potamogetonaceae,96,Intermediate
Sagittaria longiloba,Sagittaria,Alismataceae,96,Intermediate
Utricularia radiata,Utricularia,Lentibulariaceae,96,Intermediate
Bacopa crenata,Bacopa,Plantaginaceae,95,Intermediate
Cyperus incomtus,Cyperus,Cyperaceae,95,Intermediate
Epilobium densum,Epilobium,Onagraceae,95,Intermediate
Fimbristylis polytrichoides,Fimbristylis,Cyperaceae,95,Intermediate
Glyceria spiculosa,Glyceria,Poaceae,95,Intermediate
Lilaeopsis occidentalis,Lilaeopsis,Apiaceae,95,Intermediate
Paspalum pumilum,Paspalum,Poaceae,95,Intermediate
Pontederia korsakowii,Pontederia,Pontederiaceae,95,Intermediate
Vossia cuspidata,Vossia,Poaceae,95,Intermediate
Xyris indica,Xyris,Xyridaceae,95,Intermediate
Bergia texana,Bergia,Elatinaceae,94,Intermediate
Burnatia enneandra,Burnatia,Alismataceae,94,Intermediate
Damasonium alisma,Damasonium,Alismataceae,94,Intermediate
Epilobium cylindricum,Epilobium,Onagraceae,94,Intermediate
Isotoma fluviatilis,Isotoma,Campanulaceae,94,Intermediate
Myriophyllum quitense,Myriophyllum,Haloragaceae,94,Intermediate
Ranunculus ololeucos,Ranunculus,Ranunculaceae,94,Intermediate
Solanum glaucophyllum,Solanum,Solanaceae,94,Intermediate
Aeschynomene filosa,Aeschynomene,Fabaceae,93,Intermediate
Eleocharis pellucida,Eleocharis,Cyperaceae,93,Intermediate
Enydra fluctuans,Enydra,Asteraceae,93,Intermediate
Genlisea filiformis,Genlisea,Lentibulariaceae,93,Intermediate
Ipomoea amnicola,Ipomoea,Convolvulaceae,93,Intermediate
Isachne arundinacea,Isachne,Poaceae,93,Intermediate
Leersia lenticularis,Leersia,Poaceae,93,Intermediate
Myriophyllum simulans,Myriophyllum,Haloragaceae,93,Intermediate
Potamogeton sulcatus,Potamogeton,Potamogetonaceae,93,Intermediate
Aeschynomene evenia,Aeschynomene,Fabaceae,92,Intermediate
Aldrovanda vesiculosa,Aldrovanda,Droseraceae,92,Intermediate
Cyperus caducus,Cyperus,Cyperaceae,92,Intermediate
Cyperus dives,Cyperus,Cyperaceae,92,Intermediate
Hydrolea elatior,Hydrolea,Hydroleaceae,92,Intermediate
Ruppia megacarpa,Ruppia,Ruppiaceae,92,Intermediate
Utricularia geminiscapa,Utricularia,Lentibulariaceae,92,Intermediate
Utricularia myriocista,Utricularia,Lentibulariaceae,92,Intermediate
Wolffia borealis,Wolffia,Araceae,92,Intermediate
Eleocharis capillacea,Eleocharis,Cyperaceae,91,Intermediate
Eriocaulon decangulare,Eriocaulon,Eriocaulaceae,91,Intermediate
Glyceria acutiflora,Glyceria,Poaceae,91,Intermediate
Juncus brachycephalus,Juncus,Juncaceae,91,Intermediate
Persicaria limbata,Persicaria,Polygonaceae,91,Intermediate
Isoetes bolanderi,Isoetes,Isoetaceae,90,Intermediate
Laurembergia repens,Laurembergia,Haloragaceae,90,Intermediate
Lilaeopsis polyantha,Lilaeopsis,Apiaceae,90,Intermediate
Lobelia aquatica,Lobelia,Campanulaceae,90,Intermediate
Paepalanthus lamarckii,Paepalanthus,Eriocaulaceae,90,Intermediate
Aeschynomene ciliata,Aeschynomene,Fabaceae,89,Intermediate
Carex exsiccata,Carex,Cyperaceae,89,Intermediate
Utricularia inflexa,Utricularia,Lentibulariaceae,89,Intermediate
Bacopa aquatica,Bacopa,Plantaginaceae,88,Intermediate
Callitriche truncata,Callitriche,Plantaginaceae,88,Intermediate
Eleocharis maculosa,Eleocharis,Cyperaceae,88,Intermediate
Oryza australiensis,Oryza,Poaceae,88,Intermediate
Rhynchospora scutellata,Rhynchospora,Cyperaceae,88,Intermediate
Sphaeranthus africanus,Sphaeranthus,Asteraceae,88,Intermediate
Utricularia neottioides,Utricularia,Lentibulariaceae,88,Intermediate
Callisia filiformis,Callisia,Commelinaceae,87,Intermediate
Juncus anthelatus,Juncus,Juncaceae,87,Intermediate
Myriophyllum pedunculatum,Myriophyllum,Haloragaceae,87,Intermediate
Oenanthe sarmentosa,Oenanthe,Apiaceae,87,Intermediate
Ranunculus flagelliformis,Ranunculus,Ranunculaceae,87,Intermediate
Aeschynomene schimperi,Aeschynomene,Fabaceae,86,Intermediate
Cuphea sessilifolia,Cuphea,Lythraceae,86,Intermediate
Eriocaulon decemflorum,Eriocaulon,Eriocaulaceae,86,Intermediate
Hydrocleys parviflora,Hydrocleys,Alismataceae,86,Intermediate
Lemna obscura,Lemna,Araceae,86,Intermediate
Myriophyllum pinnatum,Myriophyllum,Haloragaceae,86,Intermediate
Nymphoides geminata,Nymphoides,Menyanthaceae,86,Intermediate
Utricularia trichophylla,Utricularia,Lentibulariaceae,86,Intermediate
Callitriche sonderi,Callitriche,Plantaginaceae,85,Intermediate
Cuphea odonellii,Cuphea,Lythraceae,85,Intermediate
Fuirena incompleta,Fuirena,Cyperaceae,85,Intermediate
Isoetes engelmannii,Isoetes,Isoetaceae,85,Intermediate
Lythrum thymifolia,Lythrum,Lythraceae,85,Intermediate
Marsilea ancylopoda,Marsilea,Marsileaceae,85,Intermediate
Montia australasica,Montia,Montiaceae,85,Intermediate
Paspalum acuminatum,Paspalum,Poaceae,85,Intermediate
Utricularia breviscapa,Utricularia,Lentibulariaceae,85,Intermediate
Carex shortiana,Carex,Cyperaceae,84,Intermediate
Crinum macowanii,Crinum,Amaryllidaceae,84,Intermediate
Echinochloa oryzoides,Echinochloa,Poaceae,84,Intermediate
Fimbristylis dipsacea,Fimbristylis,Cyperaceae,84,Intermediate
Glossostigma elatinoides,Glossostigma,Phrymaceae,84,Intermediate
Podostemum ceratophyllum,Podostemum,Podostemaceae,84,Intermediate
Potamogeton cristatus,Potamogeton,Potamogetonaceae,84,Intermediate
Sparganium subglobosum,Sparganium,Typhaceae,84,Intermediate
Crinum jagus,Crinum,Amaryllidaceae,83,Intermediate
Ludwigia inclinata,Ludwigia,Onagraceae,83,Intermediate
Luziola bahiensis,Luziola,Poaceae,83,Intermediate
Nymphaea gardneriana,Nymphaea,Nymphaeaceae,83,Intermediate
Rhynchospora trispicata,Rhynchospora,Cyperaceae,83,Intermediate
Sparganium androcladum,Sparganium,Typhaceae,83,Intermediate
Trichospira verticillata,Trichospira,Asteraceae,83,Intermediate
Utricularia chrysantha,Utricularia,Lentibulariaceae,83,Intermediate
Caperonia serrata,Caperonia,Euphorbiaceae,82,Intermediate
Cardamine prorepens,Cardamine,Brassicaceae,82,Intermediate
Comanthera xeranthemoides,Comanthera,Eriocaulaceae,82,Intermediate
Juncus heterophyllus,Juncus,Juncaceae,82,Intermediate
Juncus subtilis,Juncus,Juncaceae,82,Intermediate
Limnocharis laforestii,Limnocharis,Alismataceae,82,Intermediate
Paepalanthus bifidus,Paepalanthus,Eriocaulaceae,82,Intermediate
Paspalum quadrifarium,Paspalum,Poaceae,82,Intermediate
Solanum amygdalifolium,Solanum,Solanaceae,82,Intermediate
Utricularia benjaminiana,Utricularia,Lentibulariaceae,82,Intermediate
Lagarosiphon major,Lagarosiphon,Hydrocharitaceae,81,Intermediate
Scleria tessellata,Scleria,Cyperaceae,81,Intermediate
Euploca ovalifolia,Euploca,Boraginaceae,80,Intermediate
Hymenachne pernambucensis,Hymenachne,Poaceae,80,Intermediate
Laurembergia tetrandra,Laurembergia,Haloragaceae,80,Intermediate
Oldenlandia capensis,Oldenlandia,Rubiaceae,80,Intermediate
Phyllanthus hyssopifolioides,Phyllanthus,Phyllanthaceae,80,Intermediate
Pontederia hastata,Pontederia,Pontederiaceae,80,Intermediate
Schoenoplectiella purshiana,Schoenoplectiella,Cyperaceae,80,Intermediate
Aeschynomene uniflora,Aeschynomene,Fabaceae,79,Intermediate
Eleocharis robbinsii,Eleocharis,Cyperaceae,79,Intermediate
Juncus repens,Juncus,Juncaceae,79,Intermediate
Paratheria prostrata,Paratheria,Poaceae,79,Intermediate
Potamogeton oxyphyllus,Potamogeton,Potamogetonaceae,79,Intermediate
Cyathocline purpurea,Cyathocline,Asteraceae,78,Intermediate
Eleocharis wichurae,Eleocharis,Cyperaceae,78,Intermediate
Glyceria leptolepis,Glyceria,Poaceae,78,Intermediate
Hydrocharis spongia,Hydrocharis,Hydrocharitaceae,78,Intermediate
Juncus dregeanus,Juncus,Juncaceae,78,Intermediate
Limnophila chinensis,Limnophila,Plantaginaceae,78,Intermediate
Philodendron rudgeanum,Philodendron,Araceae,78,Intermediate
Rhynchospora robusta,Rhynchospora,Cyperaceae,78,Intermediate
Schoenus brevifolius,Schoenus,Cyperaceae,78,Intermediate
Utricularia cucullata,Utricularia,Lentibulariaceae,78,Intermediate
Vallisneria natans,Vallisneria,Hydrocharitaceae,78,Intermediate
Abolboda pulchella,Abolboda,Xyridaceae,77,Intermediate
Ammannia senegalensis,Ammannia,Lythraceae,77,Intermediate
Juncus striatus,Juncus,Juncaceae,77,Intermediate
Myriophyllum farwellii,Myriophyllum,Haloragaceae,77,Intermediate
Petasites radiatus,Petasites,Asteraceae,77,Intermediate
Thaumatophyllum bipinnatifidum,Thaumatophyllum,Araceae,77,Intermediate
Triglochin scilloides,Triglochin,Juncaginaceae,77,Intermediate
Aeschynomene denticulata,Aeschynomene,Fabaceae,76,Intermediate
Bacopa monnierioides,Bacopa,Plantaginaceae,76,Intermediate
Diodia kuntzei,Diodia,Rubiaceae,76,Intermediate
Mourera fluviatilis,Mourera,Podostemaceae,76,Intermediate
Pacourina edulis,Pacourina,Asteraceae,76,Intermediate
Ranunculus praemorsus,Ranunculus,Ranunculaceae,76,Intermediate
Utricularia erectiflora,Utricularia,Lentibulariaceae,76,Intermediate
Cyperus corymbosus,Cyperus,Cyperaceae,75,Intermediate
Leersia japonica,Leersia,Poaceae,75,Intermediate
Limnophila indica,Limnophila,Plantaginaceae,75,Intermediate
Ludwigia lagunae,Ludwigia,Onagraceae,75,Intermediate
Luziola subintegra,Luziola,Poaceae,75,Intermediate
Marsilea angustifolia,Marsilea,Marsileaceae,75,Intermediate
Najas arguta,Najas,Hydrocharitaceae,75,Intermediate
Ornduffia reniformis,Ornduffia,Menyanthaceae,75,Intermediate
Schoenoplectus torreyi,Schoenoplectus,Cyperaceae,75,Intermediate
Sium sisarum,Sium,Apiaceae,75,Intermediate
Eleocharis nudipes,Eleocharis,Cyperaceae,74,Intermediate
Hanguana malayana,Hanguana,Hanguanaceae,74,Intermediate
Lagenocarpus guianensis,Lagenocarpus,Cyperaceae,74,Intermediate
Bacopa stricta,Bacopa,Plantaginaceae,73,Intermediate
Cyperus canus,Cyperus,Cyperaceae,73,Intermediate
Cyperus lanceolatus,Cyperus,Cyperaceae,73,Intermediate
Eleocharis ochrostachys,Eleocharis,Cyperaceae,73,Intermediate
Eleocharis plicarhachis,Eleocharis,Cyperaceae,73,Intermediate
Eleocharis spiralis,Eleocharis,Cyperaceae,73,Intermediate
Epilobium wallichianum,Epilobium,Onagraceae,73,Intermediate
Genlisea repens,Genlisea,Lentibulariaceae,73,Intermediate
Mayaca longipes,Mayaca,Mayacaceae,73,Intermediate
Nymphaea jamesoniana,Nymphaea,Nymphaeaceae,73,Intermediate
Oxystelma esculentum,Oxystelma,Apocynaceae,73,Intermediate
Rhynchospora gigantea,Rhynchospora,Cyperaceae,73,Intermediate
Rhynchospora macrostachya,Rhynchospora,Cyperaceae,73,Intermediate
Thalia dealbata,Thalia,Marantaceae,73,Intermediate
Burmannia madagascariensis,Burmannia,Burmanniaceae,72,Intermediate
Cyperus humilis,Cyperus,Cyperaceae,72,Intermediate
Cyperus uncinulatus,Cyperus,Cyperaceae,72,Intermediate
Elatine minima,Elatine,Elatinaceae,72,Intermediate
Euryale ferox,Euryale,Nymphaeaceae,72,Intermediate
Glyceria pulchella,Glyceria,Poaceae,72,Intermediate
Isoetes durieui,Isoetes,Isoetaceae,72,Intermediate
Juncus exsertus,Juncus,Juncaceae,72,Intermediate
Microcarpaea minima,Microcarpaea,Phrymaceae,72,Intermediate
Panicum aquaticum,Panicum,Poaceae,72,Intermediate
Pilularia novae-hollandiae,Pilularia,Marsileaceae,72,Intermediate
Vandellia diffusa,Vandellia,Linderniaceae,72,Intermediate
Cyperus chalaranthus,Cyperus,Cyperaceae,71,Intermediate
Cyperus prolifer,Cyperus,Cyperaceae,71,Intermediate
Cyperus sellowianus,Cyperus,Cyperaceae,71,Intermediate
Eriocaulon sexangulare,Eriocaulon,Eriocaulaceae,71,Intermediate
Fuirena robusta,Fuirena,Cyperaceae,71,Intermediate
Lysichiton americanus,Lysichiton,Araceae,71,Intermediate
Panicum hemitomon,Panicum,Poaceae,71,Intermediate
Pontederia subovata,Pontederia,Pontederiaceae,71,Intermediate
Potamogeton confervoides,Potamogeton,Potamogetonaceae,71,Intermediate
Proserpinaca pectinata,Proserpinaca,Haloragaceae,71,Intermediate
Sagittaria brevirostra,Sagittaria,Alismataceae,71,Intermediate
Schoenoplectiella erecta,Schoenoplectiella,Cyperaceae,71,Intermediate
Sesbania sericea,Sesbania,Fabaceae,71,Intermediate
Xanthosoma striatipes,Xanthosoma,Araceae,71,Intermediate
Lobelia oligophylla,Lobelia,Campanulaceae,70,Intermediate
Nymphoides humboldtiana,Nymphoides,Menyanthaceae,70,Intermediate
Rhynchospora brasiliensis,Rhynchospora,Cyperaceae,70,Intermediate
Amphibromus neesii,Amphibromus,Poaceae,69,Intermediate
Aquarius longipetalus,Aquarius,Alismataceae,69,Intermediate
Cephalanthus glabratus,Cephalanthus,Rubiaceae,69,Intermediate
Crassula natans,Crassula,Crassulaceae,69,Intermediate
Eleocharis coloradoensis,Eleocharis,Cyperaceae,69,Intermediate
Eleocharis contracta,Eleocharis,Cyperaceae,69,Intermediate
Eleocharis setifolia,Eleocharis,Cyperaceae,69,Intermediate
Glyceria australis,Glyceria,Poaceae,69,Intermediate
Ischaemum polystachyum,Ischaemum,Poaceae,69,Intermediate
Nymphaea mexicana,Nymphaea,Nymphaeaceae,69,Intermediate
Paepalanthus tortilis,Paepalanthus,Eriocaulaceae,69,Intermediate
Pontederia paniculata,Pontederia,Pontederiaceae,69,Intermediate
Bolboschoenus medianus,Bolboschoenus,Cyperaceae,68,Intermediate
Butomopsis latifolia,Butomopsis,Alismataceae,68,Intermediate
Nuphar x rubrodisca,Nuphar,Nymphaeaceae,68,Intermediate
Nymphaea gigantea,Nymphaea,Nymphaeaceae,68,Intermediate
Aeschynomene fluminensis,Aeschynomene,Fabaceae,67,Intermediate
Aponogeton distachyos,Aponogeton,Aponogetonaceae,67,Intermediate
Cyperus miliifolius,Cyperus,Cyperaceae,67,Intermediate
Dicliptera peruviana,Dicliptera,Acanthaceae,67,Intermediate
Elatine macropoda,Elatine,Elatinaceae,67,Intermediate
Eryngium pandanifolium,Eryngium,Apiaceae,67,Intermediate
Lasimorpha senegalensis,Lasimorpha,Araceae,67,Intermediate
Phragmites japonicus,Phragmites,Poaceae,67,Intermediate
Salvinia biloba,Salvinia,Salviniaceae,67,Intermediate
Acmella paniculata,Acmella,Asteraceae,66,Intermediate
Limnophila brownii,Limnophila,Plantaginaceae,66,Intermediate
Peplidium foecundum,Peplidium,Phrymaceae,66,Intermediate
Phyllospadix scouleri,Phyllospadix,Zosteraceae,66,Intermediate
Wolffiella lingulata,Wolffiella,Araceae,66,Intermediate
Antinoria agrostidea,Antinoria,Poaceae,65,Intermediate
Callitriche muelleri,Callitriche,Plantaginaceae,65,Intermediate
Carex pseudocuraica,Carex,Cyperaceae,65,Intermediate
Ctenodon elegans,Ctenodon,Fabaceae,65,Intermediate
Cyperus pohlii,Cyperus,Cyperaceae,65,Intermediate
Cyperus schomburgkianus,Cyperus,Cyperaceae,65,Intermediate
Ischaemum latifolium,Ischaemum,Poaceae,65,Intermediate
Isoetes drummondii,Isoetes,Isoetaceae,65,Intermediate
Juncus haenkei,Juncus,Juncaceae,65,Intermediate
Marsilea mollis,Marsilea,Marsileaceae,65,Intermediate
Rhynchospora asperula,Rhynchospora,Cyperaceae,65,Intermediate
Sacciolepis vilvoides,Sacciolepis,Poaceae,65,Intermediate
Vallisneria annua,Vallisneria,Hydrocharitaceae,65,Intermediate
Aeschynomene elaphroxylon,Aeschynomene,Fabaceae,64,Intermediate
Cabomba haynesii,Cabomba,Cabombaceae,64,Intermediate
Eleocharis equisetoides,Eleocharis,Cyperaceae,64,Intermediate
Eriocaulon australe,Eriocaulon,Eriocaulaceae,64,Intermediate
Heteranthera multiflora,Heteranthera,Pontederiaceae,64,Intermediate
Ipomoea fimbriosepala,Ipomoea,Convolvulaceae,64,Intermediate
Juncus militaris,Juncus,Juncaceae,64,Intermediate
Lasia spinosa,Lasia,Araceae,64,Intermediate
Pilularia americana,Pilularia,Marsileaceae,64,Intermediate
Potamogeton pulcher,Potamogeton,Potamogetonaceae,64,Intermediate
Typha davidiana,Typha,Typhaceae,64,Intermediate
Zannichellia peltata,Zannichellia,Potamogetonaceae,64,Intermediate
Cyperus meridionalis,Cyperus,Cyperaceae,63,Intermediate
Eriocaulon truncatum,Eriocaulon,Eriocaulaceae,63,Intermediate
Eriocaulon willdenovianum,Eriocaulon,Eriocaulaceae,63,Intermediate
Marathrum foeniculaceum,Marathrum,Podostemaceae,63,Intermediate
Potamogeton richardii,Potamogeton,Potamogetonaceae,63,Intermediate
Xyris paraensis,Xyris,Xyridaceae,63,Intermediate
Ceratophyllum muricatum,Ceratophyllum,Ceratophyllaceae,62,Intermediate
Eriocaulon melanocephalum,Eriocaulon,Eriocaulaceae,62,Intermediate
Ludwigia polycarpa,Ludwigia,Onagraceae,62,Intermediate
Ludwigia suffruticosa,Ludwigia,Onagraceae,62,Intermediate
Nymphaea conardii,Nymphaea,Nymphaeaceae,62,Intermediate
Oenanthe fluviatilis,Oenanthe,Apiaceae,62,Intermediate
Schoenus calostachyus,Schoenus,Cyperaceae,62,Intermediate
Senecio bonariensis,Senecio,Asteraceae,62,Intermediate
Weddellina squamulosa,Weddellina,Podostemaceae,62,Intermediate
Aeschynomene scabra,Aeschynomene,Fabaceae,61,Intermediate
Aquarius macrophyllus,Aquarius,Alismataceae,61,Intermediate
Eleocharis nigrescens,Eleocharis,Cyperaceae,61,Intermediate
Glossostigma drummondii,Glossostigma,Phrymaceae,61,Intermediate
Myriophyllum salsugineum,Myriophyllum,Haloragaceae,61,Intermediate
Panicum gilvum,Panicum,Poaceae,61,Intermediate
Utricularia limosa,Utricularia,Lentibulariaceae,61,Intermediate
Utricularia tenella,Utricularia,Lentibulariaceae,61,Intermediate
Victoria amazonica,Victoria,Nymphaeaceae,61,Intermediate
