Species,Genus,Family,RangeSize,Groups
Alternanthera sessilis,Alternanthera,Amaranthaceae,1057,Widespread
Potamogeton alpinus,Potamogeton,Potamogetonaceae,1055,Widespread
Carex saxatilis,Carex,Cyperaceae,1050,Widespread
Cyperus difformis,Cyperus,Cyperaceae,1045,Widespread
Utricularia intermedia,Utricularia,Lentibulariaceae,1041,Widespread
Equisetum scirpoides,Equisetum,Equisetaceae,1036,Widespread
Myriophyllum verticillatum,Myriophyllum,Haloragaceae,1024,Widespread
Cyperus haspan,Cyperus,Cyperaceae,1008,Widespread
Montia fontana,Montia,Montiaceae,997,Widespread
Utricularia minor,Utricularia,Lentibulariaceae,997,Widespread
Utricularia gibba,Utricularia,Lentibulariaceae,974,Widespread
Eriophorum gracile,Eriophorum,Cyperaceae,968,Widespread
Persicaria punctata,Persicaria,Polygonaceae,967,Widespread
Carex utriculata,Carex,Cyperaceae,966,Widespread
Myriophyllum spicatum,Myriophyllum,Haloragaceae,964,Widespread
Pontederia crassipes,Pontederia,Pontederiaceae,957,Widespread
Sagittaria sagittifolia,Sagittaria,Alismataceae,952,Widespread
Schoenoplectus lacustris,Schoenoplectus,Cyperaceae,950,Widespread
Rumex aquaticus,Rumex,Polygonaceae,949,Widespread
Eleocharis quinqueflora,Eleocharis,Cyperaceae,947,Widespread
Sparganium natans,Sparganium,Typhaceae,937,Widespread
Bidens pilosa,Bidens,Asteraceae,931,Widespread
Sparganium erectum,Sparganium,Typhaceae,928,Widespread
Scirpus sylvaticus,Scirpus,Cyperaceae,925,Widespread
Carex pseudocyperus,Carex,Cyperaceae,918,Widespread
Paspalum scrobiculatum,Paspalum,Poaceae,907,Widespread
Cyperus squarrosus,Cyperus,Cyperaceae,899,Widespread
Leersia oryzoides,Leersia,Poaceae,895,Widespread
Centella asiatica,Centella,Apiaceae,892,Widespread
Cyperus iria,Cyperus,Cyperaceae,884,Widespread
Leersia hexandra,Leersia,Poaceae,881,Widespread
Veronica beccabunga,Veronica,Plantaginaceae,874,Widespread
Catabrosa aquatica,Catabrosa,Poaceae,858,Widespread
Glyceria striata,Glyceria,Poaceae,853,Widespread
Bidens frondosa,Bidens,Asteraceae,849,Widespread
Eleocharis uniglumis,Eleocharis,Cyperaceae,846,Widespread
Aeschynomene indica,Aeschynomene,Fabaceae,844,Widespread
Limosella aquatica,Limosella,Plantaginaceae,841,Widespread
Carex cespitosa,Carex,Cyperaceae,840,Widespread
Alopecurus geniculatus,Alopecurus,Poaceae,839,Widespread
Caladium bicolor,Caladium,Araceae,833,Widespread
Sium suave,Sium,Apiaceae,827,Widespread
Fuirena umbellata,Fuirena,Cyperaceae,821,Widespread
Ruppia maritima,Ruppia,Ruppiaceae,820,Widespread
Myriophyllum sibiricum,Myriophyllum,Haloragaceae,816,Widespread
Mentha aquatica,Mentha,Lamiaceae,814,Widespread
Nasturtium officinale,Nasturtium,Brassicaceae,810,Widespread
Potamogeton lucens,Potamogeton,Potamogetonaceae,804,Widespread
Ludwigia peploides,Ludwigia,Onagraceae,801,Widespread
Nymphaea alba,Nymphaea,Nymphaeaceae,800,Widespread
Mentha longifolia,Mentha,Lamiaceae,791,Widespread
Trichophorum alpinum,Trichophorum,Cyperaceae,791,Widespread
Schoenoplectus pungens,Schoenoplectus,Cyperaceae,790,Widespread
Glyceria fluitans,Glyceria,Poaceae,785,Widespread
Calamagrostis purpurea,Calamagrostis,Poaceae,781,Widespread
Epilobium parviflorum,Epilobium,Onagraceae,781,Widespread
Veronica americana,Veronica,Plantaginaceae,781,Widespread
Potamogeton praelongus,Potamogeton,Potamogetonaceae,779,Widespread
Lycopodiella inundata,Lycopodiella,Lycopodiaceae,769,Widespread
Ranunculus gmelinii,Ranunculus,Ranunculaceae,768,Widespread
Ranunculus minimus,Ranunculus,Ranunculaceae,761,Widespread
Eleocharis geniculata,Eleocharis,Cyperaceae,751,Widespread
Persicaria hydropiperoides,Persicaria,Polygonaceae,747,Widespread
Pontederia cordata,Pontederia,Pontederiaceae,739,Widespread
Setaria parviflora,Setaria,Poaceae,737,Widespread
Juncus triglumis,Juncus,Juncaceae,736,Widespread
Sparganium hyperboreum,Sparganium,Typhaceae,735,Widespread
Juncus biglumis,Juncus,Juncaceae,729,Widespread
Panicum dichotomiflorum,Panicum,Poaceae,726,Widespread
Nymphoides indica,Nymphoides,Menyanthaceae,720,Widespread
Hydrocharis morsus-ranae,Hydrocharis,Hydrocharitaceae,718,Widespread
Berula erecta,Berula,Apiaceae,708,Widespread
Sagittaria latifolia,Sagittaria,Alismataceae,708,Widespread
Juncus conglomeratus,Juncus,Juncaceae,700,Widespread
Eragrostis ciliaris,Eragrostis,Poaceae,699,Widespread
Ranunculus peltatus,Ranunculus,Ranunculaceae,698,Widespread
Mentha spicata,Mentha,Lamiaceae,693,Widespread
Myriophyllum alterniflorum,Myriophyllum,Haloragaceae,693,Widespread
Glyceria maxima,Glyceria,Poaceae,689,Widespread
Cyperus compressus,Cyperus,Cyperaceae,683,Widespread
Najas marina,Najas,Hydrocharitaceae,681,Widespread
Rhynchospora corymbosa,Rhynchospora,Cyperaceae,681,Widespread
Fimbristylis littoralis,Fimbristylis,Cyperaceae,680,Widespread
Anacardium occidentale,Anacardium,Anacardiaceae,678,Widespread
Commelina diffusa,Commelina,Commelinaceae,671,Widespread
Acorus calamus,Acorus,Acoraceae,669,Widespread
